Date,Title,Teaser,Date_Link
24.04.2020,"«In ganz Afrika gibt es höchstens 500 Beatmungsgeräte», sagt ein Malaria-Experte. Doch die grosse Katastrophe in Afrika ist nicht Covid-19","In Europa dominiert Sars-CoV-2 die Schlagzeilen. In Afrika indes dürfte nicht das Virus, sondern Kollateralschäden die meisten Todesopfer fordern, erklärt der Malaria-Experte Christian Lengeler im Gespräch mit der NZZ.",24.04.2020
24.04.2020,Tests in New York legen nahe: Es gibt viel mehr Infizierte als vermutet,False,24.04.2020
24.04.2020,"Grosser Auftritt, ohne Zweifel: Es schlägt die Stunde der Star-Virologen",False,24.04.2020
24.04.2020,"Trump bezeichnet seine Äusserung zu Injektion von Desinfektionsmitteln als Sarkasmus, Google und Apple stärken Datenschutz bei Plattform für Corona-Apps – die neusten Entwicklungen zum Coronavirus weltweit",False,24.04.2020
24.04.2020,Italiens Notbudget sprengt alle Grenzen – mit einer Geldflut wird das Coronavirus bekämpft,False,24.04.2020
24.04.2020,"Die Grösse der Schweiz ist ihre Kleinheit, namentlich in Krisenzeiten – dem gilt es Sorge zu tragen",False,24.04.2020
24.04.2020,"BAG: Tendenz bei den Fallzahlen weiterhin gut, Rückholaktion für im Ausland gestrandete Schweizer endet kommende Woche – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,24.04.2020
24.04.2020,Darf Schaffhausen die Restaurants früher öffnen als Genf? Der Bundesrat soll den Kantonen bei der Öffnung der Wirtschaft mehr Spielraum geben,False,24.04.2020
24.04.2020,«Einen Impfstoff werden wir frühestens in 15 Monaten haben – und vorher gibt es keine Fussballspiele mit Zuschauern und keine Konzerte»,False,24.04.2020
24.04.2020,Sollen Fitnesscenter und Sportstudios schon im Mai wieder offen sein?,False,24.04.2020
24.04.2020,Berührungen in der Quarantäne: Mit Online-Kuscheln den Corona-Koller vertreiben,False,24.04.2020
24.04.2020,"Das Glossar zum Coronavirus – 20 wichtige Begriffe, die Sie kennen müssen",False,24.04.2020
23.04.2020,Corona hin oder her – die Maturaprüfungen müssen stattfinden,Zürich und Bern preschen voran und wollen ihre Gymnasiasten ohne Abschlussprüfungen in die Zukunft schicken. Damit wählen sie den Weg des geringsten Widerstands. Dabei wäre in der Krise Kreativität gefragt.,23.04.2020
23.04.2020,"Und plötzlich heisst es, der Schweiz könnte die grösste Rezession seit der Erdölkrise bevorstehen. Es ist bemerkenswert, wie Ökonomen die Corona-Krise unterschätzt haben",False,23.04.2020
23.04.2020,Bürgerliche Politiker torpedieren die Flugticketabgabe,False,23.04.2020
23.04.2020,"110 Passagiere aus Algier in die Schweiz zurückgeführt, ausserordentliche Session kostet 3,125 Millionen Franken – die neusten Entwicklungen zum Coronavirus in der Schweiz",False,23.04.2020
23.04.2020,"«In jeder Krise gibt es einen unsichtbaren Klebstoff, der Europa zusammenhält»",False,23.04.2020
23.04.2020,Die EU-Regierungen rücken in der Coronavirus-Krise wieder etwas näher zusammen,False,23.04.2020
23.04.2020,"Tschechien hebt Ausgangsbeschränkungen nach Gerichtsurteil auf, EU-Gipfel billigt 500-Milliarden-Hilfspaket – die neusten Entwicklungen zum Coronavirus weltweit",False,23.04.2020
23.04.2020,"Zwei Dutzend neue Coronavirus-Fälle, Warn-SMS an gut 200 000 Personen – wie Taiwan Contact-Tracing einsetzt",False,23.04.2020
23.04.2020,Nicht jeder Antikörpertest gibt Gewissheit,False,23.04.2020
23.04.2020,Coronavirus und Home-Office: Die Gewinner von heute könnten die Verlierer von morgen sein,False,23.04.2020
23.04.2020,"Geisterspiele sind der Notausgang des Fussballs, doch für die Schweiz sind Zweifel angebracht",False,23.04.2020
21.04.2020,Die Contact-Tracing-App des Bundes soll im Mai starten,"Die offizielle Corona-App soll helfen, Infektionsketten zu unterbrechen. Andere europäische Länder sind noch nicht so weit – und verfolgen einen anderen Ansatz im Umgang mit den Daten.",22.04.2020
21.04.2020,Die Schweiz braucht keinen Marshall-Plan,False,22.04.2020
21.04.2020,Die erste formelle Kommissionssitzung per Skype: Die Politiker sitzen zu Hause und tuscheln via Whatsapp,False,22.04.2020
21.04.2020,Nach 221 Jahren könnte Luzern wieder zur Hauptstadt der Schweiz werden – wenn auch nur für 21 Tage,False,22.04.2020
